"Export time:  2/5/2024, 2:08:37 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08VP72ZNS","Amazon Basics Mesh Pen Holder and Organizer, Black, 9.1' x 5.9' x 5.5''","Amazon Basics","$12.58","5,366","139","$67,504","10/19/2021","$4.90","4.7","10,124","$7.68","1,435","5","AMZ","1","Office Products","Standard","5.906 x 9.055 x 5.433 in","1.235 lb","https://www.amazon.com/dp/B08VP72ZNS"
"Pen organizer","","B0C4XY7GR9","BEYGORM Acrylic Vertical Marker Organizer for 150 Makers,Angled Pen Holders Desktop Organization,Clear Large Stationary Pencil Holder for Desk,Art Supply Storage Organizers for School Supplie","BEYGORM","$29.99","450","15","$13,496","05/10/2023","","4.9","45","","16,365","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C4XY7GR9"
"Average Monthly Sales: 1,579","","B09Y1P4732","Marbrasse Upgraded Wooden Pencil Holder, Pen Organizer for Desk, Easy Assembly, Art Supply Organizer, Desktop Stationary Organizer Caddy (JB-B16-Cherry Color)","Marbrasse","$18.99","1,307","32","$24,820","04/14/2022","$9.71","3.8","3,747","$9.28","4,261","7","FBA","1","Arts, Crafts & Sewing","Standard","3.39 x 4.96 x 2.32 in","3.41 lb","https://www.amazon.com/dp/B09Y1P4732"
"Average Revenue: $23,381","","B088ZFBLKG","Marbrasse Mesh Desk/ Desktop Stationary Organizer, Multi-Functional Pen Holder, Storage Rack for School Home Office Art Supplies (Black Mesh Pen Holder with Drawer)","Marbrasse","$24.99","1,202","37","$30,038","10/23/2019","$15.45","4.8","7,619","$9.54","6,588","7","FBA","2","Office Products","Standard","3.937 x 8.268 x 10.63 in","1.51 lb","https://www.amazon.com/dp/B088ZFBLKG"
"Average Price: $18.53","","B0BYMRJD7R","Marbrasse Pen Organizer with 2 Drawer, Multi-Functional Pencil Holder for Desk, Desk Organizers and Accessories with 5 Compartments + Drawer for Office Art Supplies (White)","Marbrasse","$9.99","12,349","381","$123,367","03/15/2023","$3.97","4.5","9,139","$6.02","325","7","FBA","1","Office Products","Standard","4.2 x 6.3 x 8.2 in","14.4 oz","https://www.amazon.com/dp/B0BYMRJD7R"
"Average No. of Ratings: 2,055","","B0C5M4FXD3","Marbrasse Desk Organizer, 360-Degree Rotating Pen Holder for Desk, Desk Organizers and Accessories with 5 Compartments Pencil Organizer, Art Supply Storage Box Caddy for Office, Home Dark Green","Marbrasse","$9.99","9,420","314","$94,106","05/17/2023","","4.7","2,057","","444","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C5M4FXD3"
"Average Sales Rank: 16,801","","B07Z1WMR1J","NIUBEE Acrylic Pen Holder 4 Compartments, Clear Pencil Organizer Cup for Countertop Desk Accessory Storage","NIUBEE","$15.99","2,160","70","$34,538","10/11/2019","$9.07","4.8","3,409","$6.92","3,319","6","FBA","1","Office Products","Standard","4.2 x 9.2 x 3.3 in","0.851 lb","https://www.amazon.com/dp/B07Z1WMR1J"
"Average Rating Number: 4.6","","B07ZJ6P9JG","Marbrasse Mesh Desk Organizer, Multi-Functional Pen Holder, Desktop Stationary Organizer, Storage Rack for School Home Office Art Supplies (Mesh Pen Holder)","Marbrasse","$17.99","1,200","37","$21,588","10/23/2019","$9.50","4.8","7,619","$8.49","6,588","7","FBA","1","Office Products","Standard","8.504 x 10.709 x 4.252 in","1.801 lb","https://www.amazon.com/dp/B07ZJ6P9JG"
"","","B083J8267Z","Marbrasse Mesh Desk Organizer, 360-Degree Rotating Multi-Functional Pen Holder, 4 Compartments Desktop Stationary Organizer, Home Office Art Supply Storage Box Caddy (Black)","Marbrasse","$16.99","703","26","$11,944","01/05/2020","$8.01","4.7","2,988","$8.98","9,526","7","FBA","4","Office Products","Standard","7.4 x 9.9 x 6.28 in","1.94 lb","https://www.amazon.com/dp/B083J8267Z"
"","","B09G29LJJR","Acrylic Pen Holder Pencil Organizer, 360-Degree Rotating Crayon Organizer for Kids Marker Holder Caddy Art Supply Organizer, Kids Desk Organizer for Office Home School","Absonic","$28.99","1,033","35","$29,947","09/12/2021","","4.7","379","","7,019","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B09G29LJJR"
"","","B0BP1L6HKR","Lolocor Desk Pencil Pen Holder, 5 Slots 360 Degree Rotating Desk Pen Organizers for Desk Desktop Storage Stationery Supplies Cup Pot for Office School Home Art Supply White","Lolocor","$9.99","3,559","120","$35,554","12/04/2022","$4.72","4.7","644","$5.27","1,738","7","FBA","1","Office Products","Standard","5.12 x 5.51 x 5.51 in","8 oz","https://www.amazon.com/dp/B0BP1L6HKR"
"","","B097Z7QBN5","Spacrea Pen Holder Desk Organizer - Desk Organizers and Accessories, Pencil Holder with 10 Compartments and 1 DrawerRose Gold","Spacrea","$19.99","2,176","59","$43,498","08/23/2021","$11.20","4.6","2,152","$8.79","4,051","7","FBA","1","Office Products","Standard","8.976 x 10.394 x 4.331 in","1.874 lb","https://www.amazon.com/dp/B097Z7QBN5"
"","","B0BW41618X","Acrylic 3 Pack Desk Organizers and Accessories, Makeup Organizer Storage With 15 Drawers, Desk Organizers, Clear Desk Accessories, Dustproof Drawer Organizer and Storage for Make Up, Jewelry, DIY Pen","YFXCVSL","$36.99","1,476","43","$54,597","04/29/2023","$23.81","4.7","247","$13.18","5,687","7","FBA","2","Office Products","Standard","9.84 x 7 x 12.4 in","7.04 lb","https://www.amazon.com/dp/B0BW41618X"
"","","B0BTLCN3HW","SimArtz 5-Tier Paper Letter Tray Organizer with File Holder - Desk Organizer with Drawer and Pen Holders, Rust-Resistant Metal Mesh Desktop Organizer - Perfect for Home & Office Supplies (Black)","SimArtz","$29.89","480","16","$14,347","12/19/2023","","5","8","","14,929","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BTLCN3HW"
"","","B096TF8NPR","Marbrasse 3 Tier Mesh Desk Organizer with Drawer, Multi-Functional Desk Organizers and Accessories, Paper Letter Organizer with 2 Pen Holder for Home Office Supplies - Black","Marbrasse","$24.99","1,457","46","$36,410","06/07/2021","$13.61","4.6","2,552","$11.38","5,264","7","FBA","2","Office Products","Standard","10.197 x 13.268 x 7.402 in","4.475 lb","https://www.amazon.com/dp/B096TF8NPR"
"","","B0BZ4396D5","OPNICE Desk Organizers and Accessories, Desk Organizer with Drawer, 4-Tier Paper Tray Organizer with 2 Pen Holders + File Holder, Office Desk Accessories for Office Supplies(Rose Gold)","OPNICE","$26.99","4,431","126","$119,593","04/24/2023","$13.10","4.5","562","$13.89","1,632","6","FBA","3","Office Products","Oversize","16.13 x 9.05 x 9.44 in","1.6 oz","https://www.amazon.com/dp/B0BZ4396D5"
"","","B0C6QMPX37","Marbrasse Mesh Pen Holder for Desk, Desk Organizer with Drawer, Multi-Functional Pencil Organizer, Desk Organizers and Accessories for Office Art Supplies (Black)","Marbrasse","$20.99","2,291","84","$48,088","05/30/2023","","4.3","385","","2,699","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6QMPX37"
"","","B0B74S6P6V","Acrylic Pen Holder 4 Compartments Clear Pencil Holder Organizer Makeup Brush Holder","HSYMQ","$8.99","1,589","64","$14,285","07/19/2022","$3.87","4.8","293","$5.12","3,703","6","FBA","2","Office Products","Standard","2.66 x 3.54 x 7.89 in","10.2 oz","https://www.amazon.com/dp/B0B74S6P6V"
"","","B0BXS5P3H4","Asten Pen Holder, Pencil Holder for Desk, Pen Organizer for Office, School, Desktop, Large Capacity Pen Storage Organizer with 5 Compartment for Pens, Markers, Makeup Brush, Cosmetics (Pink, 3 Pack)","Asten","$16.99","553","20","$9,395","03/07/2023","$9.30","4.5","153","$7.69","12,171","7","FBA","1","Office Products","Standard","8.07 x 3.62 x 8.31 in","1.3 lb","https://www.amazon.com/dp/B0BXS5P3H4"
"","","B0BXNPMXS6","ZHAIXIAONIAN Desk Pen Organizer, Pen Holder Organizer Storage, Pencil Organizer with 7 Compartments and 1 Drawer, Marker Desk Organizers and Accessories","ZHAIXIAONIAN","$16.99","379","13","$6,439","03/06/2023","","4.4","101","","18,390","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BXNPMXS6"
"","","B08BX6MLM7","Pipishell Desk Organizer Mesh Desktop Office Supplies Multi-functional Caddy Pen Holder Stationery with 8 Compartments and 1 Drawer for Home, School, Classroom","Pipishell","$17.99","740","15","$13,313","06/25/2020","$10.75","4.7","2,261","$7.24","15,746","7","FBA","1","Office Products","Standard","4.961 x 9.055 x 4.921 in","1.102 lb","https://www.amazon.com/dp/B08BX6MLM7"
"","","B07D5MKDQP","Simple Houseware Desk Organizer 3 Tray w/Sliding Drawer, Hanging File Holder and Pen Holder Accessory, Black","Simple Houseware","$24.97","449","11","$11,212","05/17/2018","$14.19","4.6","10,327","$10.78","21,114","6","FBA","1","Office Products","Standard","11.732 x 12.992 x 4.803 in","4.696 lb","https://www.amazon.com/dp/B07D5MKDQP"
"","","B093VGWTBL","QPEY Acrylic Pen Holder 4 Compartments,Clear Pen Holder Organizer Makeup Brush Holder for Office Desk Accessories,Cosmetic Brush Storage Box,Dorm,Bathroom,Kitchen (Clear)","QPEY","$8.99","591","22","$5,313","04/29/2021","$2.50","4.8","1,035","$6.49","11,341","7","FBA","1","Office Products","Standard","4.02 x 3.5 x 9.61 in","1 lb","https://www.amazon.com/dp/B093VGWTBL"
"","","B08KFZ94GN","Marbrasse Wooden Pen Organizer, Multi-Functional DIY Pen Holder Box, Desktop Stationary, Easy Assembly, Home Office Art Supplies Organizer Storage with Drawer (B16-Cherry Color)","Marbrasse","$16.99","2,380","68","$40,436","10/20/2020","$8.65","4","22,815","$8.34","3,418","7","FBA","1","Office Products","Standard","8.268 x 1.181 x 14.567 in","2.659 lb","https://www.amazon.com/dp/B08KFZ94GN"
"","","B0C6MBSZ6N","gianotter 360 Degree Rotation pen holder, 6 Slots Pencil Holder for Desk, desk organizers and accessories for Office Supplies, Home Office Art Supply Storage Box Caddy (White)","gianotter","$13.99","300","10","$4,197","07/19/2023","","4.8","96","","23,684","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6MBSZ6N"
"","","B07S2V1S3B","BTSKY Large Capacity Pencil Box, Office Supplies Storage Organizer Box, Brush Painting Pencils Storage Box Watercolor Pen Container Drawing Tools(6 Pack)","BTSKY","$17.99","1,770","59","$31,842","05/19/2019","$10.77","4.5","2,136","$7.22","4,026","6","FBA","1","Office Products","Standard","8.3 x 1.6 x 8.3 in","16 oz","https://www.amazon.com/dp/B07S2V1S3B"
"","","B088RC7Y5Q","PeoTRIOL Pen Organizer, Pencil Holder, Multi-Functional Stationery Desk Organizer Makeup Lipsticks Storage for Office, School, Home Supplies Set of 4, 16 Compartment","PeoTRIOL","$14.99","106","3","$1,589","05/17/2020","$6.95","4","266","$8.04","69,700","6","FBA","1","Office Products","Standard","11.024 x 15.748 x 2.047 in","1.058 lb","https://www.amazon.com/dp/B088RC7Y5Q"
"","","B001JZ50SC","Rolodex 1746466 Mesh Pencil Cup Organizer Four Compartments Steel 9 1/3 x 4 1/2 x 4 Black","Rolodex","$11.49","879","31","$10,100","09/28/2008","$4.60","4.7","4,027","$6.89","8,099","5","AMZ","36","Office Products","Standard","4.291 x 9.213 x 4.016 in","1.199 lb","https://www.amazon.com/dp/B001JZ50SC"
"","","B09ZH55CJF","Yesesion Clear Office Organizer Drawer for Desk, 2 Pack Plastic Pen and Pencil Holder with Adjustable Compartment, Large Desk Accessories Display Caddy for Home, Cabinet, Bathroom (Type B - 2 Pack)","Yesesion","$38.99","366","13","$14,270","05/03/2022","$26.71","4.4","110","$12.28","18,227","7","FBA","2","Office Products","Standard","6.6 x 10.6 x 2.7 in","3.8 lb","https://www.amazon.com/dp/B09ZH55CJF"
"","","B0BJ1NZV67","BOHDK Pen Organizer for Desk, Multi-Functional Desk Organizer, Wall Mount Pen Holder with Drawer for School, Office, Home, Art Supplies, Black","BOHDK","$24.99","401","12","$10,021","10/12/2022","$13.91","4.6","198","$11.08","20,441","6","FBA","2","Office Products","Standard","10 x 14.02 x 6.42 in","1 lb","https://www.amazon.com/dp/B0BJ1NZV67"
"","","B08RDC3YKP","Ludato 2 Pieces Mesh Pen Holder Desk Organizers and Accessories for Desk3 Compartments Black Pencil Holder for Office Supplies Gifts for Colleague","Ludato","$19.99","1,015","9","$20,290","12/27/2020","$11.85","4.7","359","$8.14","25,296","6","FBA","1","Office Products","Standard","4.3 x 5.5 x 8.3 in","1.058 lb","https://www.amazon.com/dp/B08RDC3YKP"
"","","B0CLQRMMNH","Pencil Pen Holder for Desk,9 Slots 360 Degree Rotating Desk Organizers,Desktop Storage Stationery Supplies Organizer, Cute Pencil Cup Pot For Office, School, Home(White)","Cayxenful","$13.99","839","27","$11,738","11/30/2023","","4.7","24","","9,341","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CLQRMMNH"
"","","B0BYZ224N9","WNING Pen Holder for Desk, Pencil Holder,5 Slots 360 Degree Rotating Desk Organizers and Accessories, Cute Pen Cup Pot for Office, School, Home, Art Supply (white)","WNING","$11.99","998","28","$11,966","03/19/2023","","4.7","385","","8,945","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYZ224N9"
"","","B0C9TN94XT","4Johor Pen Holder for Desk - Pencil Holder with 5 Compartments, 360Rotating desk organizers and accessories for Women and Men,Desk Caddy for School,Teacher,Office,Art Supply. Tidy Desk, Tidy Mind","4Johor","$5.99","2,222","63","$13,310","08/23/2023","$1.32","4.6","79","$4.67","3,763","7","FBA","2021","Office Products","Standard","6.3 x 5.1 x 6.3 in","11.3 oz","https://www.amazon.com/dp/B0C9TN94XT"
"","","B089119T67","Black Pen Holder Cup for Desk, Black Wire Mesh Pencil Cup Holder for Desk Office Pen Organizer","HSYMQ","$5.99","4,682","154","$28,045","05/20/2020","$1.55","4.7","1,575","$4.44","1,251","6","FBA","1","Office Products","Standard","3.9 x 3.5 x 3.5 in","0.32 oz","https://www.amazon.com/dp/B089119T67"
"","","B093C7Q5V1","EDENMS Desk Pencil Pen Holder, 3 Slots, 360-Degree Spinning Organizers, White","EDENMS","$11.95","2,185","59","$26,111","04/22/2021","$6.62","4.7","1,574","$5.33","4,048","6","FBA","1","Office Products","Standard","4.961 x 5.669 x 4.882 in","0.375 lb","https://www.amazon.com/dp/B093C7Q5V1"
"","","B0C8HGGF97","Zbtezna Pen Holder, Clear Acrylic Makeup Brush Holder, Pencil Holder for Desk with Sticky Notes Holder and 3 Compartments, Pencil Organizer for Pen, Art Supply, Makeup Brush(Clear)","Zbtezna","$7.99","1,393","41","$11,130","06/18/2023","","4.8","126","","5,961","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C8HGGF97"
"","","B08R9N5W8B","NIUBEE Acrylic Pen Pencil Holder 7 Compartments, Multi-capacity Marker Storage Art Supply Organizer, 360 Rotating Clear Pencil Cup","NIUBEE","$29.99","277","10","$8,307","12/24/2020","$18.76","4.7","381","$11.23","23,817","6","FBA","2","Office Products","Standard","8.78 x 10 x 6.969 in","2.249 lb","https://www.amazon.com/dp/B08R9N5W8B"
"","","B0BBFWPR3P","Marbrasse Clear Pen Organizer Storage, Acrylic Desk Organizer with 12 Compartments, Pen Organizer for Desk, Desktop Art Organizer for Office School Art Supplies","Marbrasse","$27.99","239","7","$6,690","08/21/2022","$17.36","4.8","625","$10.63","31,304","6","FBA","1","Office Products","Standard","9 x 5 x 11 in","2.03 lb","https://www.amazon.com/dp/B0BBFWPR3P"
"","","B09JW7BSHW","walowalo Bamboo Rotating Art Supply Organizer Holds 800+ Pencils Spinning Crayon Marker Pen Holder for Desk Brush Storage for Office School Classroom Organization Stationary (Larger Version)","walowalo","$39.99","353","14","$14,116","02/01/2022","$26.36","4.8","240","$13.63","17,341","7","FBA","1","Office Products","Standard","11.378 x 12.559 x 7.362 in","3.3 lb","https://www.amazon.com/dp/B09JW7BSHW"
"","","B0BHHW538Q","YCLADEC Pen Holder Makeup Brush Holder 6 Compartments Organizer with Removable Dividers for Desk Cosmetic Storage Office Accessory Bathroom Kitchen Desktop Pencil Cup Stationery Organization Clear","YCLADEC","$13.99","359","9","$5,022","10/05/2022","","4.8","108","","26,235","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BHHW538Q"
"","","B0BZVN7G3T","Cerpourt Clear Makeup Brush Organizer,Acrylic Cosmetic Brushes Storage Holder with 3 Slots,Pencil Pen Holder for Desk,Desk Organizer and Accessories for Vanity","Cerpourt","$6.99","1,622","50","$11,338","03/28/2023","$2.89","4.8","181","$4.10","11,463","7","FBA","1","Beauty & Personal Care","Standard","7.8 x 3.5 x 2.6 in","5.9 oz","https://www.amazon.com/dp/B0BZVN7G3T"
"","","B004GGMODU","Rolodex Mesh Collection Spinning Desk Sorter, Black","Rolodex","$13.37","509","15","$6,805","10/31/2010","$6.22","4.7","4,200","$7.15","16,461","5","AMZ","37","Office Products","Standard","6.5 x 6.5 x 6.5 in","1.41 lb","https://www.amazon.com/dp/B004GGMODU"
"","","B0C7P3WMZC","Lebenrich Rotating Pen Pencil Holder for Desk, 5 Slots Unique White Desk Pen Organizer Easthetic Desktop Supplies and Accessories for Women Girls, Pen Cup Pencil Caddy for Office Home Art Supply","Lebenrich","$9.99","891","26","$8,901","06/10/2023","","4.6","59","","9,500","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C7P3WMZC"
"","","B0C2TXPXWF","VITABONA Large Marker Holder Marker Storage Organizer, Sturdy Mesh Pencil-Pen Organizer Storage For Desk, Stationary Organizer With Drawer, Art Supply Desk Organizer For Office, Home, School(Black)","VITABONA","$22.99","240","8","$5,518","","","4.3","50","","28,864","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0C2TXPXWF"
"","","B09Q38XC13","Pajean 4 Pack Acrylic Pen Pencil Holder 4 Compartments Clear Pencil Pen Holder Organizer Acrylic Makeup Brush Holder Acrylic Pencil Organizer Cup for Office Home Supplies Desk Accessories","Pajean","$30.99","95","2","$2,944","01/09/2022","$20.55","4.9","92","$10.44","102,652","7","FBA","1","Office Products","Standard","3.7 x 8.9 x 3 in","2.84 lb","https://www.amazon.com/dp/B09Q38XC13"
"","","B0CPCG2Q76","GGIANTGO Rotating Desk Organizer with 2 Drawer, Pencil Pen Holder for Desk, Desk Organizers and Accessories with 4 Compartments + Drawer for Office Home Art Supplies (White)","GGIANTGO","$13.99","484","28","$6,771","12/30/2023","","4.7","204","","8,858","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CPCG2Q76"
"","","B07ZNKZGJ8","Fujinzhu 2 PCS Desk Organizer, Pencil Holder with 8 Compartments Pen Organizer for Home School Office Desk Supplies Accessories - Translucent White","Fujinzhu","$9.99","87","2","$869.13","10/27/2019","$4.72","4.5","742","$5.27","81,144","7","FBA","1","Office Products","Standard","4.5 x 8.3 x 3.7 in","0.6 lb","https://www.amazon.com/dp/B07ZNKZGJ8"
"","","B08GZP3DQS","FURNINXS Bamboo Desk Organizer with 14 Drawers, Pen Holder Accessories for Pencil Marker, Wooden Desktop Stationary Organizer for Office Decor Art Supplies","FURNINXS","$29.99","80","3","$2,399","08/28/2020","$19.06","4.5","893","$10.93","68,769","7","FBA","1","Office Products","Standard","8.858 x 12.756 x 4.095 in","3.117 lb","https://www.amazon.com/dp/B08GZP3DQS"
"","","B0CCV45WXK","Marbrasse Mesh Desk Organizer, Pen Organizer with 2 Drawer, Multi-Functional Pencil Holder for Desk, Desk Organizers and Accessories with 5 Compartments + Drawer for Office Art Supplies (Black)","Marbrasse","$13.99","1,384","39","$19,362","07/25/2023","$8.12","4.6","258","$5.87","6,340","7","FBA","1","Office Products","Standard","8 x 6.5 x 4.9 in","9.6 oz","https://www.amazon.com/dp/B0CCV45WXK"
"","","B09GKBJW8W","BTSKY 4 Pack Extra Large Capacity Plastic Pencil Box Stackable Translucent Clear Office Supplies Storage Organizer for Gel Pens Erasers Tape Pens Markers etc(Grey)","BTSKY","$20.99","1,733","55","$36,376","09/16/2021","$11.41","4.7","797","$9.58","4,367","6","FBA","1","Office Products","Standard","9.252 x 5.512 x 10.827 in","1.213 lb","https://www.amazon.com/dp/B09GKBJW8W"
"","","B09VGCK8ZT","Mesh Pen Holder, Desk Organizer for Desk Pencil Holder with 8 Compartments and 1 Drawer Desk Supplies for Office Home 1 PC","Lechay","$9.99","261","7","$2,607","03/13/2022","$3.35","4.7","85","$6.64","31,709","7","FBA","1","Office Products","Standard","4.69 x 4.45 x 8.82 in","1.04 lb","https://www.amazon.com/dp/B09VGCK8ZT"
"","","B0BYVGTGCH","GGIANTGO Pencil Pen Holder for Desk, 9 Slots 360 Degree Rotating Desk Organizer, Cute Pen Organizers Stationery Supplies for Office Home & Art Supply (Beige)","GGIANTGO","$13.99","1,615","68","$22,594","03/17/2023","","4.8","267","","3,411","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYVGTGCH"
"","","B08XTB8W32","BTSKY Hexagonal Creative Pen Holder, Pen Container, Brush Pot, Combination Desktop Storage Organizer, Creative Hanging Planter Holder Multifunctional Wall-Mounted(White)","BTSKY","$22.99","154","4","$3,540","03/01/2021","$13.11","4.4","156","$9.88","54,457","7","FBA","1","Office Products","Standard","4.72 x 12.2 x 9.06 in","1.52 lb","https://www.amazon.com/dp/B08XTB8W32"