"Export time:  1/29/2024, 5:30:04 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B077FL72GQ","Bankers Box Heavy Duty Portable Plastic File Box with Hanging Rails, Letter, 1 Pack (0086304)","Bankers Box","$29.00","334","9","$9,686","11/12/2017","$11.35","4.6","2,250","$17.65","25,432","6","AMZ","9","Office Products","Oversize","12 x 9.13 x 14.75 in","2.03 lb","https://www.amazon.com/dp/B077FL72GQ"
"bankers box clear plastic portable file box with black lid","","B077FD41GM","Bankers Box Heavy Duty Plastic File Storage Box with Hanging Rails, Letter/Legal, 1 Pack (0086205)","Bankers Box","$27.99","2,339","71","$65,469","11/12/2017","$6.87","4.7","4,038","$21.12","3,291","6","AMZ","14","Office Products","Oversize","14.9 x 17.8 x 11.5 in","3.9 lb","https://www.amazon.com/dp/B077FD41GM"
"Average Monthly Sales: 1,599","","B0CDFHM4PR","abcxgood Desktop File Organizer Box,Collapsible Hanging Filing Box,Home Office Document Storage Organizer with Front Pocket and Handles, Letter Size Folder. (BLACK)","abcxgood","$19.99","150","5","$2,998","08/01/2023","$8.16","4.7","32","$11.83","44,174","6","FBA","1","Office Products","Standard","5.1 x 10.6 x 14 in","1.04 lb","https://www.amazon.com/dp/B0CDFHM4PR"
"Average Revenue: $49,821","","B07CQ919KP","IRIS USA Letter/Legal File Tote Box, 4 Pack, BPA-Free Plastic Storage Bin Tote Organizer with Durable and Secure Latching Lid, Stackable and Nestable, Black/Clear","IRIS","$44.99","12,855","404","$578,346","05/06/2018","$21.70","4.3","11,326","$23.29","295","7","AMZ","10","Office Products","Oversize","10.82 x 14.26 x 18.08 in","2.48 lb","https://www.amazon.com/dp/B07CQ919KP"
"Average Price: $29.75","","B07F5V5Q3T","Sterilite Large Nesting ShowOffs, Stackable Small Storage Bin with Latching Lid and Handle, Plastic Container to Organize Office Files, Clear, 12-Pack","Sterilite","$35.99","64","3","$2,303","06/30/2018","$-2.56","4.5","460","$38.55","75,050","6","FBM","3","Office Products","Oversize","15.2 x 11 x 10 in","42.329 lb","https://www.amazon.com/dp/B07F5V5Q3T"
"Average No. of Ratings: 1,364","","B08T6P5QD2","Pendaflex Portable File Box with File Rails, Hinged Lid with Double Latch Closure, Granite, 3 Black Letter Size Hanging Folders Included (41747AMZ)","Pendaflex","$29.14","938","13","$27,333","01/14/2021","$11.27","4.5","934","$17.87","19,156","7","AMZ","1","Office Products","Oversize","14 x 11 x 11.125 in","2.84 lb","https://www.amazon.com/dp/B08T6P5QD2"
"Average Sales Rank: 61,853","","B07BKVN8S4","Bankers Box STOR/FILE Boxes With Lids For File Storage, White/Blue, Letter/Legal, 16.25 x 12.5 x 10.5 In, 30 Pack (0071304)","Bankers Box","$69.99","4,692","101","$328,393","03/31/2018","$32.69","4.8","2,983","$37.30","2,151","7","AMZ","5","Office Products","Oversize","22.63 x 10.38 x 28.38 in","1.1 lb","https://www.amazon.com/dp/B07BKVN8S4"
"Average Rating Number: 4.4","","B0BDNDKX3X","CATOOMUU 5.5qt Portable Project Case 8.5' X 11' Clear Stackable Plastic Storage With Lids Organizer Containers File Box For Letter A4 Paper Photo Documents Scrapbook Craft Art School Supplies, 2 Pcs","CATOOMUU","$29.99","745","22","$22,343","09/07/2022","","4.7","94","","11,346","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BDNDKX3X"
"","","B004GXB6RI","Sterilite 18719004 Portable File Box, Black with Clear Storage Lid and Titanium Handle and Latch, 4-Pack","Sterilite","$51.99","489","13","$25,423","09/15/2009","$14.73","4.5","556","$37.26","18,638","6","AMZ","4","Office Products","Oversize","22 x 23 x 15 in","11.001 lb","https://www.amazon.com/dp/B004GXB6RI"
"","","B00BMDBS9G","Office Depot Stackable File Tote Box, Letter Size, 14 1/4in. x 23 3/8in. x 10 7/8in., Black/Clear, 139732","Office Depot","$22.95","204","4","$4,682","04/27/2013","$0.99","4.4","98","$21.96","54,141","6","FBM","1","Office Products","Oversize","14.3 x 21.2 x 10.6 in","3.351 lb","https://www.amazon.com/dp/B00BMDBS9G"
"","","B004GBX5S8","Office Depot Brand Letter And Legal File Tote, 18'L x 14 1/4'W x 10 7/8'H, 30% Recycled, Black","OfficeMax","$36.99","130","3","$4,809","01/10/2011","$25.74","4.6","471","$11.25","75,152","6","FBM","1","Office Products","Oversize","","","https://www.amazon.com/dp/B004GBX5S8"
"","","B09KDPWYWT","Pendaflex Portable File Box, Frosted White, Hinged Lid with Double Latch Closure, 3 Black Letter Size Hanging Folders Included (41745AMZ)","Pendaflex","$28.99","703","15","$20,380","12/31/2021","$10.76","4.5","592","$18.23","16,419","7","AMZ","7","Office Products","Oversize","11.5 x 14 x 11.25 in","3.25 lb","https://www.amazon.com/dp/B09KDPWYWT"
"","","B08584Y2FS","SimpleHouseware Stackable Mesh Hanging File Organizer with Wheels, Black","Simple Houseware","$22.87","569","19","$13,013","02/26/2020","$4.80","4.3","1,651","$18.07","13,208","4","FBA","2","Office Products","Oversize","12.52 x 11.5 x 15.31 in","4.31 lb","https://www.amazon.com/dp/B08584Y2FS"
"","","B0C9HJ9DWY","Oterri File Box,Upgraded Filing Box, Easy Slide File Boxes for Hanging Files with Lid,Linen Rolling Filing Cabinet,Portable File Organizer for Letter Size,Collapsible Document Organizer Box with 4","Oterri","$24.99","268","9","$6,697","06/27/2023","$7.36","4.2","46","$17.63","26,929","6","FBA","1","Office Products","Oversize","12.99 x 10.6 x 14.1 in","3.47 lb","https://www.amazon.com/dp/B0C9HJ9DWY"
"","","B01M0YN8KW","Office Depot Brand Letter And Legal File Tote, 18'L x 14 1/4'W x 10 7/8'H, Clear/Black","Office Depot","$36.99","270","9","$9,987","","","4.4","49","","25,906","3","FBM","1","Office Products","Standard","","","https://www.amazon.com/dp/B01M0YN8KW"
"","","B09MJR4WVQ","Bankers Box 1 Pack Portable Open Desktop Plastic File Storage Box with Hanging Rails, Side Handle, Organizer Bin, Letter","Bankers Box","$25.73","30","1","$771.90","11/24/2021","$14.29","4.8","11","$11.44","160,421","6","AMZ","1","Office Products","Standard","10.984 x 13.504 x 6.654 in","1.506 lb","https://www.amazon.com/dp/B09MJR4WVQ"
"","","B01GTX5WT0","IRIS USA Portable Letter/Legal File Tote Box, 4 Pack, BPA-Free Plastic Storage Bin with Organizer-Lid, Durable, Secure Lid and Handle, Black","IRIS","$44.99","8,419","287","$378,771","10/04/2023","$15.24","4.4","3,239","$29.75","510","7","AMZ","7","Office Products","Oversize","17.91 x 14.69 x 19.69 in","8.95 lb","https://www.amazon.com/dp/B01GTX5WT0"
"","","B0BHNHSFW6","Huolewa Upgraded Portable File Organizer Box with Lid, Large Linen Hanging Office Document Storage Box with Lid, Collapsible Filing&Storage Box for Office/Decor/Home - 14.9 x 12.7 x 10.8 inch","Huolewa","$16.99","9,650","342","$163,953","10/07/2022","","4.5","4,208","","387","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BHNHSFW6"
"","","B0BS23NZMV","PLAXBOX Portable File Organizer Box with Lid - Plastic Hanging Filing Storage Boxes with Handles - Sturdy Home/Office Filing System for Folders, Paper & Document Box, Cardboard File Box Alternative","PLAXBOX","$39.89","367","8","$14,640","05/10/2023","","3.8","73","","27,426","7","FBA","3","Office Products","","","","https://www.amazon.com/dp/B0BS23NZMV"
"","","B0CJF82T5Y","PARANTA 2-Piece Plastic File Boxes with Lids and Wheels, Stackable File Storage Manager with 40 Hanging Letters/Legal Size Folders, Large Portable Home Office File Box, White","PARANTA","$59.99","","","$0.00","09/19/2023","","","","","330,108","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CJF82T5Y"
"","","B09JLG1G5W","Forlogic File Organizer Box with lid, Collapsible Linen File Storage Boxes for Letter/Legal Folder, Filing Box, Decorative File Box with Hanging Folders for File Storage in Office/Home","Forlogic","$27.99","1,178","62","$32,972","10/15/2021","$16.76","4.5","450","$11.23","3,791","7","FBA","2","Office Products","Standard","13.38 x 3.15 x 15.62 in","5.95 lb","https://www.amazon.com/dp/B09JLG1G5W"
"","","B08T6P8LB6","Pendaflex Portable File Box with File Rails, Hinged Lid with Double Latch Closure, Black, 3 Black Letter Size Hanging Folders Included (41742AMZ)","Pendaflex","$24.53","3,596","122","$88,210","01/14/2021","$8.49","4.5","4,501","$16.04","1,700","7","AMZ","13","Office Products","Oversize","10.79 x 11.89 x 10 in","2.8 lb","https://www.amazon.com/dp/B08T6P8LB6"
"","","B09TQ6HY4J","Pendaflex Portable File Box with File Rails, Hinged Lid with Double Latch Closure, Black, 3 Black Letter Size Hanging Folders Included (41732AMZ)","Pendaflex","$23.99","901","17","$21,615","02/28/2022","","4.5","248","","14,183","7","AMZ","11","Office Products","","","","https://www.amazon.com/dp/B09TQ6HY4J"
"","","B0C8MGDHWS","EOOUT 1 Pack File Organizer Box with Lid Hanging File Folders Organizer Letter Size Collapsible Document Organizer for Home Office (Black)","EOOUT","$16.99","633","19","$10,755","06/19/2023","","4.3","117","","13,185","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C8MGDHWS"
"","","B006VPLRAK","Sterilite File Box, Stackable Storage Bin with Lid, Organize Receipts, Bills, Taxes, and Papers in the Home, Office, Clear Base with Black Lid, 4-Pack","Sterilite","$41.00","760","14","$31,160","01/05/2012","$5.39","4.5","1,379","$35.61","16,759","4","AMZ","11","Office Products","Oversize","18.819 x 27.795 x 14.488 in","11.64 lb","https://www.amazon.com/dp/B006VPLRAK"
"","","B08NVR4X1Q","PRANDOM File Organizer Box - Set of 1 Collapsible Decorative Linen Filing Storage Hanging File Folders with Lids Office Cabinet Letter Size Grey (14x9.3x10.8 inch)","PRANDOM","$17.99","785","27","$14,122","12/12/2020","$2.55","4.5","1,030","$15.44","9,211","6","FBA","1","Office Products","Oversize","9.3 x 10.8 x 14 in","1 lb","https://www.amazon.com/dp/B08NVR4X1Q"
"","","B094J982JS","AMBOR File Box with Lock, Fireproof Document Box with 5 Tabs, Collapsible File Organizer with Handle for Letter & Legal Size Folder/Certifications/Books Storage, Black","AMBOR","$29.99","1,957","91","$58,690","05/09/2021","$18.16","4.4","2,222","$11.83","2,431","7","FBA","2","Office Products","Standard","13.189 x 16.929 x 2.205 in","3.946 lb","https://www.amazon.com/dp/B094J982JS"
"","","B09TQ5RRST","Pendaflex Portable File Box with File Rails, Hinged Lid with Double Latch Closure, Granite, 3 Black Letter Size Hanging Folders Included (41737AMZ)","Pendaflex","$21.79","214","7","$4,663","02/28/2022","$10.89","4.5","190","$10.90","31,597","7","AMZ","6","Office Products","Standard","6.5 x 11.42 x 13.78 in","2 lb","https://www.amazon.com/dp/B09TQ5RRST"
"","","B07T1P26PZ","Storex Portable File Storage Box with Translucent Organizer Storage Lid- Plastic Office File Storage Box for Letter Paper and Hanging Folders, Black, Model Number: 61504A01C","Storex","$23.48","558","17","$13,102","06/13/2019","$6.08","4.4","10,763","$17.40","14,487","6","AMZ","13","Office Products","Oversize","12 x 13.9 x 11.5 in","3.001 lb","https://www.amazon.com/dp/B07T1P26PZ"
"","","B09R3V2B6R","Storex File Storage Box Translucent Storage Lid, Black 1-Pack (61504F01C)","Storex","$27.60","329","8","$9,080","01/23/2022","$10.34","4","1,488","$17.26","29,579","6","AMZ","3","Office Products","Oversize","13.25 x 11 x 10.88 in","2.2 lb","https://www.amazon.com/dp/B09R3V2B6R"
"","","B08RMQ7JFM","New Collapsible File Storage Organizer Box with Lid, Huolewa Lattice Linen Office Document Storage, Universal Hanging Filing Organization Box for Letter/Legal Folder, Decorative Home File Storage Bin","Huolewa","$16.99","9,956","342","$169,152","12/29/2020","$8.85","4.5","4,208","$8.14","387","7","FBA","1","Office Products","Standard","12.402 x 1.181 x 14.764 in","1.876 lb","https://www.amazon.com/dp/B08RMQ7JFM"
"","","B097CMBC5V","Storex Portable File Box with Organizer Lid  Plastic Office File Storage Box for Letter Paper and Hanging Folders, Obsidian, 1-Count (61504C01C)","Storex","$27.18","107","3","$2,908","06/15/2021","$9.22","4.1","518","$17.96","62,189","6","AMZ","6","Office Products","Oversize","12 x 13.5 x 11.25 in","3.15 lb","https://www.amazon.com/dp/B097CMBC5V"
"","","B096TL3L9S","Bankers Box 1 Pack Heavy-Duty 20' Plastic File Storage Box with Hanging Rails, Letter","Bankers Box","$36.99","378","12","$13,982","06/07/2021","$13.52","4.4","152","$23.48","19,537","6","AMZ","5","Office Products","Oversize","22.38 x 10.58 x 14.36 in","4.65 lb","https://www.amazon.com/dp/B096TL3L9S"
"","","B0CHRM3P8M","Oterri File Organizer Box,File Box,Small File Cabinet for Letter Folders,Black Portable Filing Box,Collapsible File Organizer Box for Office/Decor/Home-1 Pack - without Folders","Oterri","$16.99","555","27","$9,429","12/18/2023","","4.4","26","","9,102","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CHRM3P8M"
"","","B07WCGXV3P","Office Depot Brand File Tote, 35 Qt, Letter/Legal Size, 10-13/16'H x 13-5/8'W x 18'D, Copen Blue","Office Depot","$36.99","194","2","$7,176","08/09/2019","","4.7","254","","89,654","6","FBM","1","Office Products","","","","https://www.amazon.com/dp/B07WCGXV3P"
"","","B0019TRAFE","Snap-N-Store Letter-Size File Box, Black (SNS01533)","Snap-N-Store","$14.49","294","11","$4,260","08/06/2008","$6.53","4.2","4,131","$7.96","22,228","6","FBA","7","Office Products","Standard","11.3 x 14.13 x 1.85 in","2.07 lb","https://www.amazon.com/dp/B0019TRAFE"
"","","B00F63M8QU","Office Depot Large Mobile File Box, Letter Size, 11 5/8in.H x 13 3/6in.W x 10in.D, Clear/Blue, 110988","Office Depot","$27.99","5,131","180","$143,617","07/29/2014","$11.19","4.6","3,119","$16.80","1,013","6","FBM","3","Office Products","Oversize","12.5 x 13.9 x 10.1 in","2.65 lb","https://www.amazon.com/dp/B00F63M8QU"
"","","B09ZKG2RMV","Storex Portable File Box with Organizer Lid  Plastic Office File Storage Box for Letter Paper and Hanging Folders, Black/Blue, 1-Count (61415B03C)","Storex","$32.34","","","$0.00","05/03/2022","$14.02","","","$18.32","454,543","6","AMZ","1","Office Products","Oversize","13.25 x 11 x 10.875 in","2.2 lb","https://www.amazon.com/dp/B09ZKG2RMV"
"","","B00F63SA6W","Office Depot Brand Letter And Legal File Tote, 18' L x 14 1/4' W x 10 7/8' H, Clear","Office Depot","$36.99","3,869","204","$143,114","09/12/2013","$18.20","4.7","1,359","$18.79","847","5","FBM","1","Office Products","Oversize","14.5 x 10.8 x 18.1 in","2.4 lb","https://www.amazon.com/dp/B00F63SA6W"
"","","B0B3DLR9S4","Oterri File Organizer Box,Filing Box with Lid,File Box for Letter/Legal File Folder Storage, Portable Hanging File Box for Office/Decor/Home,1 Pack,Black-Box only","Oterri","$19.99","2,658","86","$53,133","06/06/2022","","4.6","1,803","","2,610","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0B3DLR9S4"
"","","B0BF4Y5WCS","ZOOPIP Fireproof File Box with Lock, Document Box Storage Organizer, Suitable for Hanging File Folders in Letter Size, Collapsible File Box, Reflective Strip for Fast Find (12.2'*6'*10.2, Black)","ZOOPIP","$24.99","2,056","60","$51,379","11/02/2022","","4.5","397","","3,985","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BF4Y5WCS"
"","","B074T5HKGP","Bankers Box Heavy-Duty Portable Storage File Box, 10 3/4' x 6 3/4' x 11 3/4', Blue/Clear","Fellowes","$9.99","30","","$299.70","08/13/2017","$-9.53","4.4","105","$19.52","220,779","6","FBM","20","Office Products","Oversize","14.2 x 10.6 x 17.4 in","2.01 lb","https://www.amazon.com/dp/B074T5HKGP"
"","","B006JSO9RC","Lorell LLR68925 Letter/Legal Plastic File Box, 1 EA","Lorell","$36.99","483","11","$17,866","01/11/2011","$19.32","4.7","1,573","$17.67","20,987","5","FBM","27","Office Products","Oversize","12.99 x 14.02 x 10.55 in","2.161 lb","https://www.amazon.com/dp/B006JSO9RC"
"","","B0C1C3KH5T","Oterri File Organizer, Small Storage Box, Cardboard File Folder Organizer, Collapsible File Box, Hanging File Organizer for Letter Size, Portable File Box with Handle, Only BoxPink2 Packs","Oterri","$11.99","4,842","179","$58,056","05/17/2023","$5.67","4.5","361","$6.32","1,021","6","FBA","1","Office Products","Standard","5.3 x 9.8 x 12.2 in","15.8 oz","https://www.amazon.com/dp/B0C1C3KH5T"
"","","B005ON38GG","Office Depot Large Mobile File Box, Letter Size, 11 5/8in.H x 13 3/6in.W x 10in.D, Clear/Burgundy, 110986","Office Depot","$49.99","139","4","$6,949","09/21/2011","$33.63","4.6","553","$16.36","57,013","6","FBM","1","Office Products","Oversize","11.5 x 13.75 x 9.8 in","1.9 lb","https://www.amazon.com/dp/B005ON38GG"
"","","B00DB8M5Q0","Office Depot Stackable File Tote Box, Letter/Legal Size, 10 13/16in.H x 14 1/8in.W x 18in.D, Blue/Clear, 170007","Office Depot","$36.99","80","1","$2,959","06/05/2013","$17.03","4.6","424","$19.96","106,826","6","FBM","1","Office Products","Oversize","15 x 11 x 19 in","2.35 lb","https://www.amazon.com/dp/B00DB8M5Q0"
"","","B0BZRPZ5C4","DYWMM Hanging File Box with Lid, Set of 2 Filing Organizer Storage Box, Linen Collapsible Decorative Office/Home File Cabinet (14x9.3x10.9 inch) (Black)","DYWMM","$29.99","233","6","$6,988","03/27/2023","","4.5","97","","37,810","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BZRPZ5C4"
"","","B00F63OKVQ","Office Depot Small Mobile File Box, Letter Size, Clear/Blue, 111092","Office Depot","$19.99","60","2","$1,199","01/20/2014","$9.84","4.4","119","$10.15","89,993","4","FBM","1","Office Products","Standard","6.1 x 11.7 x 13.2 in","1.45 lb","https://www.amazon.com/dp/B00F63OKVQ"
"","","B00F63HK18","Office Depot 30% Recycled Portable File Box, 10 11/16in.H x 14 11/16in.W x 10 3/8in.D, 50649","Office Depot","$29.99","60","","$1,799","03/17/2016","$13.77","4.5","321","$16.22","179,656","6","FBM","1","Office Products","Oversize","14 x 10 x 10 in","1.97 lb","https://www.amazon.com/dp/B00F63HK18"
"","","B01IDSC82I","Sterilite File Box Clear Base with Black Lid","Sterilite","$36.99","99","1","$3,662","07/12/2016","","4.3","24","","111,859","4","FBM","1","Office Products","","","","https://www.amazon.com/dp/B01IDSC82I"
"","","B07DTGWLP3","Storex File Box with XL Lid Storage Case, 11'x13.3'x10.9', Black, Teal","Storex","$32.83","","","$0.00","06/17/2018","$15.54","3.8","7","$17.29","278,489","5","AMZ","18","Office Products","Oversize","11.221 x 13.386 x 10.63 in","2.293 lb","https://www.amazon.com/dp/B07DTGWLP3"
"","","B0C7BS61JF","DYWMM File Box for Hanging Files with Lid, Set of 2 Collapsible File Storage Organizer Box for Hanging Folder, Decorative Small Filling Boxes for Home/Office (2PC 14 x 9.3 x 10.9 inches, Black)","DYWMM","$28.99","85","2","$2,464","07/31/2023","","4.5","184","","89,232","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C7BS61JF"
"","","B00078457O","ADVANTUS File Tote with Lid, 19 x 15.5 x 11 Inches, Black (34052)","Advantus","$36.99","33","2","$1,221","09/08/2008","$16.82","4.6","196","$20.17","100,600","4","AMZ","48","Office Products","Oversize","14.5 x 11.5 x 18.25 in","3.4 lb","https://www.amazon.com/dp/B00078457O"
"","","B0C22VP192","SEEKIND Upgraded Portable Storage File Boxes with Lids, Linen Office Document Storage with Plastic Slide,3 Folders, Universal Hanging Filing File Organizer Box for Letter/Legal Folder(Black-1 Pack)","SEEKIND","$21.99","30","1","$659.70","04/10/2023","","4.6","90","","127,383","5","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C22VP192"
"","","B0C4S5LQ9T","EOOUT File Organizer Box, 6 Pack Cardboard File Folder Organizer for Letter Size, Hanging File Organizer, File Holder with Handles, for Office, Home, School (Black)","EOOUT","$15.99","36","1","$575.64","05/08/2023","$6.86","3.6","38","$9.13","118,263","7","FBA","1","Office Products","Standard","5.3 x 9.8 x 12.2 in","2.82 lb","https://www.amazon.com/dp/B0C4S5LQ9T"
"","","B007MD8HU8","STERILITE 18689004 18.5' X 14' X 11' File Box Clear Base With Black Lid","Sterilite","$22.95","","","$0.00","03/26/2012","$4.46","4.5","180","$18.49","262,489","5","FBM","4","Office Products","Oversize","14 x 11 x 18.5 in","2.4 lb","https://www.amazon.com/dp/B007MD8HU8"
"","","B08S9S7368","IRIS USA Large Portable Desktop File Box with Open Lid, 4 Pack, Side Handles, Hanging File Folders, Tabs & Inserts, Letter Size, Magazines, Newspapers, Mail, Books, Notebooks, Black","IRIS","$32.99","464","13","$15,307","02/10/2014","$9.60","4.6","542","$23.39","18,905","6","AMZ","1","Office Products","Oversize","13.88 x 15.69 x 16.25 in","5.5 lb","https://www.amazon.com/dp/B08S9S7368"
"","","B0BF95M29G","MaxGear Hanging File Organizer Box, Mesh File Folder Organizer for Letter/Legal Size Filing Box, Metal File Folder Box with Handles, File Crate Storage Box for Office Supplies, Clothes, Pantry, Bath","MaxGear","$21.99","355","7","$7,806","09/13/2022","$4.81","3.9","104","$17.18","32,989","7","FBA","3","Office Products","Oversize","12.2 x 9.84 x 15.2 in","2.45 lb","https://www.amazon.com/dp/B0BF95M29G"