"Export time:  1/27/2024, 12:50:53 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B00V86BJU0","BIC Brite Liner Highlighters, Chisel Tip, 24-Count Pack of Highlighters Assorted Colors, Ideal Highlighter Set for Organizing and Coloring","BIC","$10.06","41,276","1,542","$415,237","07/25/2010","$4.78","4.8","34,081","$5.28","22","7","AMZ","40","Office Products","Standard","2.75 x 5.5 x 2.75 in","8.5 oz","https://www.amazon.com/dp/B00V86BJU0"
"school supplies college","","B0B51F9WX2","Dawfolk Spiral Notebook A5 4 Pack, Ruled Journals Notebooks, Soft Cover Notebook, 80Sheets, 160Pages, Lined Paper, 5' x 8', For Office, School Supplies","Dawfolk","$12.99","23","","$298.77","06/23/2022","$5.90","4.4","40","$7.09","188,427","6","FBA","1","Office Products","Standard","7.44 x 1.81 x 10.67 in","1.81 lb","https://www.amazon.com/dp/B0B51F9WX2"
"Average Monthly Sales: 8,549","","B0C79B3M3P","Notebook Paper College Ruled, Loose Leaf Paper College Ruled Notebook Paper, Lined Filler Paper for 3 Ring Binders - 10.5 X 8', for Students, College, School Classroom - 100 Sheets/Pack (2 Pack)","Manaloom","$8.99","560","20","$5,034","06/05/2023","$2.50","4.6","66","$6.49","12,277","7","FBA","1","Office Products","Standard","8 x 0.01 x 10.5 in","1.39 lb","https://www.amazon.com/dp/B0C79B3M3P"
"Average Revenue: $99,544","","B089R3WKQ5","KAISA Legal Pads Writing Pads Recycled Paper, 8.5'x11.75' Wide Ruled Perforated 50 sheets Notepads 8-1/2'x 11-3/4' Writed Pad, Canary (Pack of 12pc) KSU-5668","KAISA","$22.99","5,422","235","$124,652","06/05/2020","$13.75","4.6","2,514","$9.24","690","6","FBA","2","Office Products","Standard","8.5 x 2 x 11.75 in","2.42 lb","https://www.amazon.com/dp/B089R3WKQ5"
"Average Price: $16.31","","B0BTPGFTYD","Nicpro 39PCS Aesthetic School Supplies - Big Capacity Pen Case, 12 Cute Highlighters, 5 Retractable Black Ink Pens, 6 Mechanical Pencils 0.5 & 0.7 mm","Nicpro","$31.99","1,343","29","$42,963","02/01/2023","$22.67","4.8","250","$9.32","8,469","7","FBA","1","Office Products","Standard","6.42 x 2.44 x 9.72 in","15.2 oz","https://www.amazon.com/dp/B0BTPGFTYD"
"Average No. of Ratings: 9,135","","B09Y2KJ2KX","SHARPIE Pocket Highlighters, Mild Pastel Colors, Great Stocking Stuffer and Holiday Gift for College Students, Teacher Gifts, Assorted, Chisel Tip, 12 Count","SHARPIE","$11.99","3,385","85","$40,586","04/14/2022","$6.65","4.7","912","$5.34","2,633","6","AMZ","28","Office Products","Standard","3.5 x 1.2 x 5.8 in","4.2 oz","https://www.amazon.com/dp/B09Y2KJ2KX"
"Average Sales Rank: 13,108","","B0BTBR7R2B","LOVEVOOK Laptop Backpack for Women, Fashion Travel Work Commuter Backpack Purse with USB Port, Lightweight Casual Daypacks, Nurse Teacher College Computer Bag, Fit 15.6' Laptop","LOVEVOOK","$36.99","","","","12/03/2021","","4.8","508","","2,117","7","FBA","1","Laptop Backpacks","","","","https://www.amazon.com/dp/B0BTBR7R2B"
"Average Rating Number: 4.6","","B00U398RDU","VIZ-PRO Magnetic Dry Erase Board, 36 X 24 Inches, Silver Aluminium Frame","VIZ-PRO","$32.75","20,699","881","$677,892","02/27/2015","$13.58","4.6","30,503","$19.17","71","6","FBA","6","Office Products","Oversize","0.98 x 25 x 40 in","5.94 lb","https://www.amazon.com/dp/B00U398RDU"
"","","B0C7K1JFQT","Sticky Notes 3x3 inch Bright Colors Self-Stick Pads 8 Pads/Pack 85 Sheets/Pad Total 680 Sheets","Winner Aura","$6.99","2,783","90","$19,453","06/08/2023","$2.87","4.3","1,333","$4.12","2,475","6","FBA","1","Office Products","Standard","5.98 x 0.51 x 11.93 in","10.5 oz","https://www.amazon.com/dp/B0C7K1JFQT"
"","","B0BCFC6KDG","feela 36 Pack Soft Cover Journal Bulk, Lined Blank Travel Journal for Women Men Writing, Notebooks College Ruled for Work, Note Taking Notebook School Business Supplies, 8.2 x 5.5, A5, Light Purple","feela","$56.99","260","8","$14,817","08/29/2022","$40.21","4.9","68","$16.78","29,174","6","FBA","1","Office Products","Standard","8.9 x 4.29 x 11.77 in","9.39 lb","https://www.amazon.com/dp/B0BCFC6KDG"
"","","B08VF9B772","Oxford Spiral Notebook 6 Pack, 1 Subject, College Ruled Paper, 8 x 10-1/2 Inch, Pastel Pink, Orange, Yellow, Green, Blue and Purple, 70 Sheets (63756)","Oxford","$9.31","19,423","824","$180,828","01/31/2021","$1.48","4.8","6,288","$7.83","81","7","AMZ","1","Office Products","Standard","8.75 x 1.5 x 10.6 in","3.15 lb","https://www.amazon.com/dp/B08VF9B772"
"","","B09MLP27XH","Four Candies Cute Mechanical Pencil Set, 6PCS Pastel Pencils 0.5mm & 0.7mm with 360PCS HB Pencil Leads, 3PCS Erasers and 9PCS Eraser Refills, Aesthetic Mechanical Pencils for Girls Writing","Four Candies","$9.59","14,029","383","$134,538","12/15/2021","$5.08","4.7","4,046","$4.51","322","6","FBA","1","Office Products","Standard","4.09 x 0.71 x 7.44 in","6.3 oz","https://www.amazon.com/dp/B09MLP27XH"
"","","B07PXLZX4Y","Weekly Planner Notepad Tear Off  52 Undated Weekly Sheets Daily To Do List , Habit Tracker, Academic Planner Notebook, Daily Work Planner- Full Year Productivity Planner & To Do List Pad 10.1 x 7.7","Lamare","$13.95","3,665","66","$51,127","06/10/2019","$8.27","4.7","3,512","$5.68","3,521","7","FBA","1","Office Products","Standard","7.8 x 0.3 x 10 in","14 oz","https://www.amazon.com/dp/B07PXLZX4Y"
"","","B0CNQRGQND","White Out Correction Tape, 10 Pack Correction Tape Easy To Use Applicator for Instant Corrections, 39 ft Each White out Tape for Study Supplies and Office Products (Blue)","Sifniea","$7.99","1,380","46","$11,026","12/22/2023","","4.2","15","","5,242","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNQRGQND"
"","","B07MK4JVP6","6 Pack 1Inch Round 3 Ring Binder View Binders with 2 Pockets,Holds 225 Sheets Assorted Colors for Office,Home,School ","XUCHUN","$24.99","2,271","90","$56,752","01/14/2019","$17.47","4.6","2,165","$7.52","2,473","6","FBA","3","Office Products","Standard","11.6 x 1.3 x 10.3 in","11.3 oz","https://www.amazon.com/dp/B07MK4JVP6"
"","","B0CG66D55T","Fuutreo 12 Pcs 8.5'' x 11'' Colored Legal Pad Writing Pads Narrow Ruled 50 Sheets Per Notepad Micro Perforated Writing Pad Note Pads Office Supplies for School College Office Business (Pastel Colors)","Fuutreo","$36.99","267","10","$9,876","08/20/2023","$23.81","5","10","$13.18","24,165","7","FBA","1","Office Products","Standard","8.74 x 3.15 x 11.34 in","7.34 lb","https://www.amazon.com/dp/B0CG66D55T"
"","","B0CKYK9NC5","Teling 8 Pcs 1 Subject Spiral Notebook Wide Ruled Notebook 8 x 10 1/2 Inch Spiral Journal Notebook 3 Hole Divider Pockets Assorted Colors Easy Tear Line 100 Sheets Office School (Delicate Color)","Teling","$28.99","65","3","$1,884","10/12/2023","$17.31","4.5","2","$11.68","63,750","7","FBA","1","Office Products","Standard","9.29 x 3.27 x 10.94 in","6.71 lb","https://www.amazon.com/dp/B0CKYK9NC5"
"","","B09Z6NVJV1","800 Sheets Transparent Sticky Notes, 3x3 Inch 14 Pads Self-Adhesive Translucent Clear See Through Post Sticky Notes for 2024 Planner Office School College Teacher Student Supplies 6 Bright Color","SYMDROMIA","$7.99","4,256","118","$34,005","05/30/2022","$3.72","4.5","1,226","$4.27","1,770","7","FBA","1","Office Products","Standard","4 x 0.7 x 9 in","8 oz","https://www.amazon.com/dp/B09Z6NVJV1"
"","","B06XZTZ7GB","MATEIN Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gift for Men & Women Fits 15.6 Inch Notebook, Grey","MATEIN","$21.99","","","","05/21/2017","$11.54","4.7","92,861","$10.45","310","7","FBA","1","Climate Pledge Friendly","Standard","18 x 7.8 x 12 in","1.56 lb","https://www.amazon.com/dp/B06XZTZ7GB"
"","","B09QXWMDZ8","Paper Mate Clearpoint Pencils, HB 2 Lead (0.7mm), Assorted Barrel Colors, 10 Count","Paper Mate","$13.39","12,188","671","$163,197","01/20/2022","$8.46","4.8","1,461","$4.93","120","6","AMZ","35","Office Products","Standard","6.75 x 0.69 x 7.63 in","4.8 oz","https://www.amazon.com/dp/B09QXWMDZ8"
"","","B003O2RXUQ","Five Star Spiral Notebook + Study App, 5 Subject, College Ruled Paper, Fights Ink Bleed, Water Resistant Cover, 8-1/2' x 11', 200 Sheets, Black (72081)","Five Star","$6.14","54,157","1,404","$332,524","10/16/2017","$0.08","4.8","27,539","$6.06","27","7","AMZ","13","Office Products","Standard","10 x 11 x 1.13 in","1.84 lb","https://www.amazon.com/dp/B003O2RXUQ"
"","","B0CJF4TLF3","Paper Clips,Paper Clip,700 Pcs Paperclips Assorted Sizes,Large Medium Small Paper Clips Ideal for Paperwork, School,Home and Office Supplies.","Krvyrn","$6.98","570","19","$3,979","09/19/2023","$2.01","4.7","27","$4.97","12,669","6","FBA","1","Office Products","Standard","1.97 x 1.97 x 3.15 in","10.6 oz","https://www.amazon.com/dp/B0CJF4TLF3"
"","","B0CNLL7943","Medium Paper Clips,Paper Clip Medium Size,700 Pcs Clips Office Supplies for Paperwork Ideal for Home, School and Teacher Supplies.","Jicsetk","$6.98","600","20","$4,188","12/19/2023","","4.9","27","","12,430","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNLL7943"
"","","B0CNRBDBYR","Sticky Notes 3x3 inches, 8 Pads Self-Stick Notes with 8 Bright Colors, Easy to Post for Home, Office, School Supplies, Cute Sticky Note Pads for Teacher Classroom Study Supplies, 80 Sheets/pad","Jyusmile","$6.99","105","7","$733.95","11/20/2023","$2.77","4.5","26","$4.22","33,740","7","FBA","1","Office Products","Standard","6.02 x 0.39 x 12.13 in","9.9 oz","https://www.amazon.com/dp/B0CNRBDBYR"
"","","B0CH12CK9R","GERMUN Large Capacity Pencil Case, School College Office Pen Pouch Pencil Bag, Multifunctional Cosmetic Stationery Bag Pouch Holder Organizer for Teen Girl Boy Men Women Adult Black","GERMUN","$6.99","601","11","$4,201","08/30/2023","$2.40","4.3","23","$4.59","20,809","7","FBA","1","Office Products","Standard","3.82 x 1.38 x 11.3 in","3.1 oz","https://www.amazon.com/dp/B0CH12CK9R"
"","","B0C98PVB1Q","Fuutreo 6 Pcs Spiral Notebook for Work B5 10.5 x 7.45 Inch College Ruled Spiral Journal Notebook Kraft Cover Notebook Ruled Paper, 70 Sheets, 140 Pages for School Study Office Supplies (Pastel)","Fuutreo","$27.99","683","14","$19,117","06/24/2023","$17.36","4","10","$10.63","17,169","7","FBA","2","Office Products","Standard","10.16 x 1.97 x 11.77 in","3.96 lb","https://www.amazon.com/dp/B0C98PVB1Q"
"","","B0BQ5YMLVV","CAGIE 5 Subject Notebook College Ruled 6'' x 8'' Hardcover Spiral Lined Notebook with 5 Removable Colored Dividers 204 Pages Notebooks for Work, School Supplies, Home & Office, Writing Journal","CAGIE","$12.99","3,907","130","$50,752","02/01/2023","$7.50","4.3","520","$5.49","1,564","7","FBA","1","Office Products","Standard","6.34 x 0.94 x 8.23 in","3.53 oz","https://www.amazon.com/dp/B0BQ5YMLVV"
"","","B09XMQBYC3","Yansanido Spiral Notebook, 4 Pcs 4 Color 9.8 Inch x 6.9 Inch B5 Thick Plastic Hardcover 7mm College Ruled Paper 80 Sheets (160 Pages) Journal for School and Office Supplies (4 Pcs B5)","Yansanido","$18.99","174","3","$3,304","04/10/2022","$12.60","4.7","104","$6.39","60,751","6","FBA","1","Office Products","Standard","10.67 x 1.77 x 10.75 in","3.53 oz","https://www.amazon.com/dp/B09XMQBYC3"
"","","B08698MJWT","SHARPIE S-Note Creative Markers, Highlighters, Assorted Colors, Chisel Tip, 24 Count","SHARPIE","$15.66","16,411","363","$256,996","03/22/2020","$9.77","4.7","16,349","$5.89","351","6","AMZ","44","Office Products","Standard","3.75 x 6.09 x 6.25 in","4.2 oz","https://www.amazon.com/dp/B08698MJWT"
"","","B0BWYLWWC1","ZICOTO Aesthetic Spiral Notebook Set of 3 For Women - Cute College Ruled 8x6 Journal/Notebook with Large Pockets And Lined Pages - Perfect Supplies to Stay Organized at Work or School","ZICOTO","$16.99","3,727","115","$63,322","02/26/2023","$11.52","4.8","492","$5.47","1,825","7","FBA","1","Office Products","Standard","6.02 x 0.59 x 8.26 in","3.53 oz","https://www.amazon.com/dp/B0BWYLWWC1"
"","","B093S6GRYV","VANRA Transparent Sticky Notes 3x3 in 6 Pads Self-Stick Note Pads Waterproof Memo Pad Scratch Pad, 300-Sheets/Pack (Clear)","VANRA","$6.98","227","8","$1,584","04/28/2021","$2.39","4.4","1,107","$4.59","27,892","7","FBA","1","Office Products","Standard","3.27 x 0.91 x 4.37 in","4.6 oz","https://www.amazon.com/dp/B093S6GRYV"
"","","B0BD4QQWK1","CICIMELON Durable Pen Pencil Case Big Storage Pen Pouch Bag for School Supplies Office College Teen Girls Adults, Purple","CICIMELON","$9.99","3,111","97","$31,079","09/24/2022","","4.7","1,444","","2,242","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BD4QQWK1"
"","","B0BY2NGQ96","400 Pcs Colored Index Cards, 3x5 Inches Ruled Index Cards with Ring Blank Flashcards Lined Index Cards Heavy Note Cards for Studying Office Home School Supplies","Prudiut","$12.99","270","5","$3,507","03/09/2023","$5.90","4.6","72","$7.09","47,032","6","FBA","1","Office Products","Standard","3 x 0.01 x 5 in","1.43 lb","https://www.amazon.com/dp/B0BY2NGQ96"
"","","B019QBOFZO","Paper Mate Gel Pens | InkJoy Pens, Medium Point, Assorted, 10 Count","Paper Mate","$9.99","31,830","1,211","$317,982","01/07/2016","$5.57","4.8","60,893","$4.42","37","5","AMZ","9","Office Products","Standard","7.63 x 6.75 x 0.65 in","4.8 oz","https://www.amazon.com/dp/B019QBOFZO"
"","","B0BXKKXDBP","SUNEE Spiral Notebooks College Ruled, 1-Subject, 4 Pack, 8 x 10-1/2 in, 70 Sheets, 3-Hole Punched Paper, Pastel Pink, Purple, Blue, Green for School, Home&Office,Writing Journal","SUNEE","$14.99","5,996","189","$89,880","03/05/2023","$7.40","4.7","362","$7.59","942","6","FBA","1","Office Products","Standard","8.58 x 1.22 x 10.67 in","2.64 lb","https://www.amazon.com/dp/B0BXKKXDBP"
"","","B0BXKB26MR","YOKUMA Pencil Case Cute Pencil Pouch for Girls Big Capacity Pen Bag Box, Kawaii Aesthetic College School Supplies for Student Teen Adults Preppy, Pink","YOKUMA","$7.99","312","8","$2,493","03/05/2023","$3.25","4.7","177","$4.74","28,311","6","FBA","1","Office Products","Standard","4.33 x 2.95 x 9.06 in","4.2 oz","https://www.amazon.com/dp/B0BXKB26MR"
"","","B00JKRKJCS","Five Star Spiral Notebook + Study App, 3 Subject, College Ruled Paper, Fights Ink Bleed, Water Resistant Cover, 8-1/2' x 11', 150 Sheets, White (72464)","Five Star","$8.00","34,723","590","$277,784","06/09/2014","$2.14","4.8","6,782","$5.86","152","7","AMZ","5","Office Products","Standard","1 x 9.88 x 11 in","1.48 lb","https://www.amazon.com/dp/B00JKRKJCS"
"","","B0C657H65G","Huhuhero 5 Subject Notebook with Dividers, 300 Pages Spiral Notebooks College Ruled, 7.6' x 10.5' Hardcover Spiral Bound Journal for Women Men Writing Work Note Taking, Office School Supplies (Pink)","Huhuhero","$17.99","565","18","$10,164","05/23/2023","$9.50","4.7","124","$8.49","13,664","7","FBA","1","Office Products","Standard","8.27 x 1.3 x 10.51 in","2.14 lb","https://www.amazon.com/dp/B0C657H65G"
"","","B09PBHR3L8","EASTHILL Big Capacity Pencil Case Pouch Pen Case Simple Stationery Bag School College Office Organizer for Teens Girls Adults Student","EASTHILL","$9.99","4,854","133","$48,491","06/11/2019","$4.95","4.7","61,065","$5.04","1,518","7","FBA","1","Office Products","Standard","5.67 x 10.04 x 1.38 in","0.04 lb","https://www.amazon.com/dp/B09PBHR3L8"
"","","B07CTX8915","Nicpro 20PCS 0.5mm & 0.7mm Metal Mechanical Pencils Set, Lead Drafting Pencil for Artist Writing, Sketching, Drawing with 8 Tubes HB Lead Refills, 3PCS 4B Erasers, 9PCS Eraser Refills | Come with Case","Nicpro","$13.99","2,408","71","$33,688","10/27/2018","$8.97","4.5","2,005","$5.02","3,248","6","FBA","1","Office Products","Standard","4.96 x 0.71 x 7.87 in","4.2 oz","https://www.amazon.com/dp/B07CTX8915"
"","","B082PN4X5J","SHARPIE S-Gel, Gel Pens, Medium Point (0.7mm), Black Ink Gel Pen, 12 Count","SHARPIE","$9.49","52,402","1,080","$497,295","12/31/2019","$4.60","4.7","50,863","$4.89","47","5","AMZ","61","Office Products","Standard","2.88 x 5.86 x 1.1 in","5.3 oz","https://www.amazon.com/dp/B082PN4X5J"
"","","B09QT1MH95","Simplified To Do List Notebook - Aesthetic Daily Planner to Easily Organize Your Tasks And Boost Productivity - Stylish Undated Planner And School or Office Supplies For Women","ZICOTO","$12.99","5,733","131","$74,472","01/19/2022","$7.97","4.7","2,029","$5.02","1,553","7","FBA","1","Office Products","Standard","6.4 x 0.6 x 8.5 in","11.7 oz","https://www.amazon.com/dp/B09QT1MH95"
"","","B0CNCQVLB6","Sticky Notes 3x3 Self-Stick Notes Pads with 8 Morandi Colors, Easy to Post for Office, School, Home, 8 Pads/Pack, 70 Sheets/Pad","Osboo","$7.99","2,340","78","$18,697","12/25/2023","","4.5","2","","2,936","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNCQVLB6"
"","","B0BD5BX4HW","Mini Printer - T02 Mini Portable Small Printer with 3 Rolls Paper, Sticker Printer Machine, Study Printer for Pictures, Photos, Journals, DIY, Compatible with Phone & Tablet, Green","Memoking","$42.99","6,616","202","$284,422","09/04/2022","","4.1","3,269","","859","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BD5BX4HW"
"","","B0B8GSCDQ3","VANRA 5 Rolls Highlighter Tape Transparent Marking Sticker Removable Fluorescent Colored Tags for Reading Class, 16 ft Per Roll","VANRA","$7.98","365","10","$2,913","08/02/2022","$3.86","4.5","421","$4.12","22,968","7","FBA","1","Office Products","Standard","4.21 x 0.43 x 6.85 in","0.704 oz","https://www.amazon.com/dp/B0B8GSCDQ3"
"","","B09K5927B5","Marbrasse Desk Organizer with File Holder, 5-Tier Paper Letter Tray Organizer with Drawer and 2 Pen Holder, Mesh Desktop Organizer and Storage with Magazine Holder for Office Supplies(Black)","Marbrasse","$33.99","6,681","195","$227,087","10/22/2021","$21.56","4.5","3,199","$12.43","902","7","FBA","4","Office Products","Standard","13 x 4.72 x 15.7 in","6.6 lb","https://www.amazon.com/dp/B09K5927B5"
"","","B01E3UIR02","Five Star Spiral Notebooks, 6 Pack, 1 Subject, Wide Ruled Paper, Fights Ink Bleed, Water Resistant Cover, 8-1/2' x 10', 100 Sheets, Black, Red, Yellow, Purple, Green, Blue (38042)","Five Star","$19.99","4,702","114","$93,993","05/28/2016","$9.96","4.8","1,941","$10.03","1,836","7","AMZ","20","Office Products","Standard","3.63 x 10.06 x 11.06 in","5.68 lb","https://www.amazon.com/dp/B01E3UIR02"
"","","B0B45RTFQH","UIXJODO Gel Pens, 5 Pcs 0.5mm Black Ink Pens Fine Point Smooth Writing Pens, High-End Series Pens for Journaling Note Taking, Cute Office School Supplies Gifts for Women Men (Morandi)","UIXJODO","$8.79","37,466","1,153","$329,326","06/14/2022","$4.55","4.6","4,365","$4.24","41","7","FBA","1","Office Products","Standard","2.36 x 0.63 x 5.91 in","3.21 oz","https://www.amazon.com/dp/B0B45RTFQH"
"","","B0BG4W7G4X","Mr. Pen- Aesthetic Highlighters, 8 pcs, Chisel Tip, Boho Colors, No Bleed Bible Highlighter Pastel, Assorted Colors, Cute","Mr. Pen","$7.85","43,477","958","$341,294","09/21/2022","$3.75","4.6","9,480","$4.10","60","6","FBA","1","Office Products","Standard","4.17 x 0.55 x 5.24 in","3.52 oz","https://www.amazon.com/dp/B0BG4W7G4X"
"","","B0C5WS221Q","FRIUSATE Index Cards with Ring, 3x5 Inches Spiral Flashcards, Colored Ruled Notecards Index Cards Flash Cards with Ring for Studying Nursing School Office Taking to Do List(250 Sheets)","FRIUSATE","$11.59","409","8","$4,740","05/21/2023","$6.78","4.2","30","$4.81","27,571","6","FBA","1","Office Products","Standard","8.7 x 0.59 x 10.63 in","10.9 oz","https://www.amazon.com/dp/B0C5WS221Q"
"","","B0C3R7BBZ5","Drawdart Highlighters- 12pcs Assorted Colors with Chisel Tip, No Bleed Pastel and Aesthetic Highlighter for Bible Study, Journaling, Planner- Cute Highlighters for School and Office Supplies","Drawdart","$4.99","1,975","46","$9,855","07/24/2023","$1.32","4.4","199","$3.67","5,286","6","FBA","1","Office Products","Standard","5.2 x 0.51 x 6.06 in","4.7 oz","https://www.amazon.com/dp/B0C3R7BBZ5"
"","","B0CGX78GDR","CICIMELON 3 Compartment Pencil Case Bag Big Storage Pencil Pouch Pen Case for School Girls Boys, Beige","CICIMELON","$9.99","1,351","27","$13,496","12/05/2023","","4.9","10","","5,127","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CGX78GDR"
"","","B0CFV6RD19","PerKoop 12 Pack Colored Loose Leaf Paper 600 Sheets 8.5 x 11 Inch Filler Paper Quality 3 Hole Punched College Ruled Multicolored for 3 Ring Binders for Office School Supplies (Morandi Colors)","PerKoop","$35.99","270","10","$9,717","05/04/2023","$23.26","4.5","14","$12.73","23,277","7","FBA","1","Office Products","Standard","9.09 x 2.76 x 11.85 in","6.41 lb","https://www.amazon.com/dp/B0CFV6RD19"
"","","B0CFXGJNSC","Faccito 12 Pack Top Bound Spiral Notebook 11' x 8-1/2' 100 Sheets College Ruled Paper Steno Pads Spiral Books for Office School Supplies(Assorted Colors)","Faccito","$42.59","141","4","$6,005","08/16/2023","$27.67","5","1","$14.92","49,001","7","FBA","1","Office Products","Standard","8.9 x 4.33 x 12.32 in","10.03 lb","https://www.amazon.com/dp/B0CFXGJNSC"
"","","B09XBWV6B8","To Do List Planner Notebook, Cute Planner Notebook, Pink Green Retro Notebook, A4 8.5x11 Large Hardcover Spiral Schedule Notebook Planner, Retro Aesthetic Daily Planner Undated for Students Teens","THiNKABLE","$17.99","831","20","$14,950","04/05/2022","$11.75","4.7","177","$6.24","12,578","7","FBA","1","Office Products","Standard","9.09 x 0.98 x 11.3 in","3.53 oz","https://www.amazon.com/dp/B09XBWV6B8"
"","","B0819FJLH7","BIC Brite Liner Grip Pastel Highlighter Set, Chisel Tip, 12-Count Pack of Pastel Highlighters in Assorted Colors (colors may vary)","BIC","$7.98","17,032","651","$135,915","11/09/2019","$3.24","4.8","21,192","$4.74","127","7","AMZ","17","Office Products","Standard","2.8 x 1.46 x 5.63 in","5 oz","https://www.amazon.com/dp/B0819FJLH7"
"","","B08H15R195","Lap Desk with Storage Drawer, Holders for Cup and Tablet, Laptop Bed Tray Table with Foldable Legs, Laptop Bed Stand, Portable Standing Table for Sofa Couch Floor Bed (23.6', Walnut)","VebaCidi","$29.99","849","36","$25,462","08/30/2020","$14.27","4.5","2,975","$15.72","6,885","6","FBA","1","Office Products","Oversize","17 x 25.5 x 2 in","5.201 lb","https://www.amazon.com/dp/B08H15R195"
"","","B0CKMT1CSH","ZEYAR Aesthetic Cute Highlighter Pens, Cream colors, Chisel Tip, Water Based, Quick Dry, No Bleed for bible, four seasons color series (8 Spring Colors)","ZEYAR","$7.59","6,750","225","$51,233","12/24/2023","","5","32","","734","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CKMT1CSH"
"","","B0BDLGKM5S","Aesthetic Pastel Sticky Notes Set of 528 with Tabs - Incl. Sturdy Cover to Keep Your Notes Safe - Cute School Accessories, College, Students, Teachers or Office Desk Supplies for Women","ZICOTO","$12.99","939","22","$12,198","09/07/2022","$7.97","4.2","338","$5.02","11,424","7","FBA","1","Office Products","Standard","4.7 x 0.4 x 8.4 in","7.4 oz","https://www.amazon.com/dp/B0BDLGKM5S"
"","","B07H6CL6PZ","EASTHILL Big Capacity Pencil Pen Case Office College School Large Storage High Capacity Bag Pouch Holder Box Organizer Khaki","EASTHILL","$12.99","16,512","487","$214,491","11/29/2018","$7.50","4.7","49,687","$5.49","214","6","FBA","1","Office Products","Standard","4.9 x 9 x 1.4 in","0.249 lb","https://www.amazon.com/dp/B07H6CL6PZ"
"","","B00ED3GU1I","Redi-Tag Divider Sticky Notes, Tabbed Self-Stick Lined Note Pad, 60 Ruled Notes, 4 x 6 Inches, Assorted Neon Colors (29500)","Redi-Tag","$8.00","2,104","64","$16,832","03/29/2011","$3.88","4.7","51,717","$4.12","3,653","4","AMZ","9","Office Products","Standard","0.38 x 4.25 x 7.75 in","0.4 oz","https://www.amazon.com/dp/B00ED3GU1I"
"","","B0BS1TM2M1","Mr. Pen- Plastic Folders with Pockets and Prong, 5 Pack, Muted Pastel Colors, Pocket Folders, File Fasteners, 2 Folder, Two","Mr. Pen","$8.85","5,461","163","$48,330","03/30/2023","$4.45","4.8","3,392","$4.40","1,155","6","FBA","1","Office Products","Standard","11.2 x 0.71 x 11.44 in","11.3 oz","https://www.amazon.com/dp/B0BS1TM2M1"